"Safe","Device type","Policy ID","Target system address","Target system user name","Group name","Last accessed date","Last accessed by","Last modified date","Last modified by","Change failure","Verification failure","Failure reason","Name",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","9/26/2011 9:59:36 PM","ssundell","9/27/2011 6:34:30 PM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-259676",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","Address","Administrator","","9/26/2011 9:59:38 PM","ssundell","2/13/2013 7:54:02 PM","PasswordManager","Yes","No","Error in logon to user Address\Administrator on domain Address(\\ADDRESS).(winRc=53) The network path was not found.
","S-1-5-21-762979615-2031575299-929701000-282962",
"Reconcile Accounts","Operating System","WinDomainAccount-CyberArk","adobenet.global.adobe.com","c-arkrec","","8/16/2011 7:09:36 PM","ssundell","3/4/2013 1:45:46 AM","PasswordManager","Yes","No","Error in logon to user adobenet.global.adobe.com\c-arkrec on domain adobenet.global.adobe.com(\\SJCADODC06).(winRc=1326) Logon failure: unknown user name or bad password.
","WindowsCompute Reconcile Account",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","sjnexus.corp.adobe.com","Administrator","","","","2/11/2014 11:09:35 PM","PasswordManager","Yes","No","Error in prereconcilepass to user sjnexus.corp.adobe.com\Administrator on domain sjnexus.corp.adobe.com(\\SJNEXUS.CORP.ADOBE.COM). Reason: Logon failure: unknown user name or bad password. (winRc=1326). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-323175",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","lragent-en6.corp.adobe.com","Administrator","","9/4/2014 7:46:16 PM","rtodd","4/26/2014 3:32:32 AM","PasswordManager","Yes","No","Error in prereconcilepass to user lragent-en6.adobenet.global.adobe.com\Administrator on domain lragent-en6.adobenet.global.adobe.com(\\LRAGENT-EN6.ADOBENET.GLOBAL.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-189944",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","noiwin11a.adobenet.global.adobe.com","Administrator","","6/5/2014 11:20:01 AM","ind31206","4/26/2014 3:42:53 AM","PasswordManager","Yes","No","Error in prereconcilepass to user noiwin11a.adobenet.global.adobe.com\Administrator on domain noiwin11a.adobenet.global.adobe.com(\\NOIWIN11A.ADOBENET.GLOBAL.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-288779",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","winaf7app04-prd.adobenet.global.adobe.com","Administrator","","","","4/29/2014 4:13:36 AM","PasswordManager","Yes","No","Error in prereconcilepass to user winaf7app04-prd.adobenet.global.adobe.com\Administrator on domain winaf7app04-prd.adobenet.global.adobe.com(\\WINAF7APP04-PRD.ADOBENET.GLOBAL.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-140348",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","BIA-AW3-SM.corp.adobe.com","Administrator","","6/5/2014 5:37:52 AM","ind31206","5/7/2014 5:57:41 PM","PasswordManager","Yes","No","Error in prereconcilepass to user BIA-AW3-SM.corp.adobe.com\Administrator on domain BIA-AW3-SM.corp.adobe.com(\\BIA-AW3-SM.CORP.ADOBE.COM). Reason: The network path was not found. (winRc=53). Reconcile account details - Safe: vaultInternal, Folder: root, Object: Operating System-WinDomainAccount-CyberArk-adobenet.global.adobe.com-c-arkrec","S-1-5-21-762979615-2031575299-929701000-266592",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","SJ1SWM239.corp.adobe.com","Administrator","","","","7/14/2014 5:02:52 AM","PasswordManager","Yes","No","","S-1-5-21-762979615-2031575299-929701000-309557",
"WindowsCompute-AutoDetect","Operating System","WinServerLocal-AutoDetect","du1gwm001.corp.adobe.com","Administrator","","9/12/2011 11:44:41 PM","csundell","7/14/2014 5:02:56 AM","PasswordManager","Yes","No","","S-1-5-21-762979615-2031575299-929701000-309765",
